Core ,Depth [cm],Age [ka],Time Interval,Benthic Foraminifera Interval,Fisher Alpha Index,Infaunals[%],Epibenthic[%],Trophic Conditions,Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic species [%],Suboxic species[%],Dysoxic species [%],Ehanced Benthic Foraminifera Oxygen Index,Inferred Dissolve Oxygen Concentration [mL/L],Oxygen Conditions,Mean d13C [o/oo],d18O sw [permil],Average Age [kyrs] Dd13C,Dd13C (9512-29JPC),Average Age [kyrs] BFDR,BFDR,Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera,Cibicidoides spp.
GeoB9512-5,217.5,14.19,Younger Dryas,5,13.4,71.4,28.6,Eutrophic,93.4,5.5,1.1,50.9,16.5,72,11.5,27.5,2.5,Low Oxic,0.22,,14.15,-0.52,14.08,-4.35,0,9.2,8.8,1.1,0.4,2.9,14.7,21.2,1.5,0,0.7,0.4,1.1,1.8,0.4,1.8,0,19.04761905
GeoB9512-5,222.5,14.41,Younger Dryas,4c,10.8,81.4,18.6,Eutrophic,95.1,4.2,0.8,70.3,11.5,81,7.5,20.5,2.2,Low Oxic,0.19,1.06,14.42,-0.57,14.3,11.82,0.8,6.8,3.8,0,2.3,5.3,6.5,38.4,1.5,2.7,0.8,0,5.3,1.5,0,1.9,0,12.92775665
GeoB9512-5,227.5,14.62,Younger Dryas,4c,14.3,63.2,36.8,Mesotrophic,78.9,20.6,0.5,53.4,32.4,52.6,15,44.4,3.2,High Oxic,-0.02,0.93,14.62,-0.81,14.52,-16.67,0,8.3,7.4,0.5,1,4.4,3.9,13.7,0.5,6.4,2.5,0.5,1,7.4,1,4.9,0,17.15686275
GeoB9512-5,232.5,14.82,Younger Dryas,4c,13.8,44.7,55.3,Mesotrophic,68,31.1,0.9,32,46.7,48.9,4.3,71.9,4.4,High Oxic,-0.28,1,14.82,-1.08,14.72,2.5,0,11.9,9.1,0,0.5,4.6,5.9,1.8,0,11,3.7,0,0.9,8.7,3.2,6.4,1.4,21.46118721
GeoB9512-5,237.5,15.02,Bølling–Allerød,4c,15.8,45.4,54.7,Mesotrophic,68.5,31.1,0.5,30.3,47.8,44.8,7.4,74.2,4.6,High Oxic,-0.39,1.07,15.06,-1.15,14.92,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.21
GeoB9512-5,242.5,15.22,Bølling–Allerød,4c,17.7,46,54,Mesotrophic,69,31,0,28.6,48.8,40.7,10.5,76.5,4.7,High Oxic,-0.24,0.76,,,15.12,-9.5,0,9.7,11.3,0,0.8,3.2,12.1,2.8,2.4,4.4,4,0,1.2,6,2.8,8.1,1.6,20.96774194
GeoB9512-5,247.5,15.39,Bølling–Allerød,4c,15.6,49.5,50.5,Mesotrophic,69.4,30.6,0,35.2,47.2,34.4,18.3,62.3,4,High Oxic,-0.06,0.71,15.38,-0.77,15.31,12.35,0,7.9,9.3,0,0.9,2.3,5.6,6.5,5.1,2.8,2.3,0,1.4,9.3,2.8,7.4,0,17.12962963
GeoB9512-5,252.5,15.48,Bølling–Allerød,4c,15,53,47,Mesotrophic,72.1,27.9,0,41.4,40.4,43.7,15.8,56.2,3.7,High Oxic,-0.06,0.82,,,15.44,6.67,0.9,6.5,6,0.5,1.4,2.3,6,10.2,4.7,1.4,1.4,0,2.3,11.6,2.8,7.4,0.5,13.95348837
GeoB9512-5,257.5,15.56,Bølling–Allerød,4c,19,68.3,31.7,Eutrophic,81.3,17.1,1.6,52.8,31,49.5,19.5,46,3.2,High Oxic,-0.1,0.87,,,15.52,-50,2,3.7,7.3,0.4,1.2,2.4,6.5,9.3,4.9,3.3,2.8,0.4,2.8,4.9,4.1,3.3,0.4,13.82113821
GeoB9512-5,262.5,15.64,Bølling–Allerød,4c,14.2,65.3,34.7,Mesotrophic,76.2,22.2,1.7,54.8,32.3,38.3,29.4,41.7,3,High Oxic,-0.09,0.82,15.62,-0.83,15.6,60,2.1,4.2,3.8,0,0.8,1.7,5,10.9,13,1.3,0,0,2.1,5.4,5,5,0.4,10.041841
