Event,Age [ka BP],CO2 [mmol/mol],CO2 std dev [±],Reference
Mauna_Loa,-0.045458,363.22,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045375,363.77,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045292,363.23,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045208,361.77,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045125,360.79,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045042,359.87,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044958,358.87,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044875,357.56,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044792,356.09,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044708,355.63,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044625,357.42,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044542,359.39,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044458,360.8,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044375,361.68,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044292,361.32,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044208,359.91,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044125,358.98,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.044042,358.22,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043958,356.84,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043875,355.4,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043792,354.12,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043708,354.1,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043625,355.46,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043542,357.42,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043458,359.52,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043375,360.19,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043292,359.27,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043208,358.36,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043125,357.27,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.043042,356.86,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042958,355.53,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042875,354.27,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042792,353.31,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042708,352.93,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042625,354.91,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042542,356.85,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042458,359.32,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042375,359.55,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042292,359,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042208,357.82,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042125,356.93,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.042042,356.17,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041958,355.07,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041875,353.79,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041792,352.32,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041708,352.3,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041625,353.89,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041542,356.12,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041458,358.1,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041375,359.09,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041292,358.51,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041208,357.06,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041125,355.68,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.041042,354.87,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040958,354.27,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040875,353.05,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040792,351.59,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040708,351.28,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040625,352.89,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040542,354.88,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040458,356.32,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040375,357.29,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040292,356.28,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040208,355.65,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040125,354.88,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.040042,353.79,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039958,352.84,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039875,351.44,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039792,350.29,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039708,350.02,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039625,351.53,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039542,353.98,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039458,355.3,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039375,355.89,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039292,355.59,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039208,353.8,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039125,353.24,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.039042,352.89,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038958,351.44,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038875,350.15,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038792,349.08,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038708,349.03,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038625,350.65,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038542,352.58,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038458,353.68,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038375,354.18,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038292,353.66,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038208,352.24,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038125,351.68,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.038042,350.38,0.3,Dlugokencky et al. 2016-08-30
