Age [yr BP],NGRIP Depth [m],NGRIP d18O [o/oo]
16240,1640.66,-39.89
16260,1641.06,-42.36
16280,1641.51,-41.99
16300,1641.94,-40.71
16320,1642.37,-42.1
16340,1642.79,-42.33
16360,1643.27,-42.5
16380,1643.76,-39.74
16400,1644.22,-42.81
16420,1644.71,-41.62
16440,1645.15,-40.74
16460,1645.64,-42.58
16480,1646.11,-41.26
16500,1646.55,-41.18
16520,1646.99,-38.29
16540,1647.48,-40.38
16560,1647.9,-41.68
16580,1648.3,-41.52
16600,1648.75,-40.58
16620,1649.2,-42.77
16640,1649.73,-42.78
16660,1650.24,-40.88
16680,1650.75,-41.55
16700,1651.2,-40.65
16720,1651.66,-42.69
16740,1652.1,-39.36
16760,1652.56,-40.72
16780,1653.03,-41.8
16800,1653.52,-40.92
16820,1653.96,-39.26
16840,1654.49,-40.64
16860,1654.97,-39.46
16880,1655.41,-40.35
16900,1655.84,-40.3
16920,1656.28,-42.1
16940,1656.66,-41.25
16960,1657.11,-42.41
16980,1657.54,-40.69
17000,1658.02,-42.12
17020,1658.5,-40.42
17040,1658.94,-42.23
17060,1659.44,-40
17080,1659.92,-39.76
17100,1660.37,-38.99
17120,1660.89,-42.35
17140,1661.36,-39.8
17160,1661.88,-40.26
17180,1662.31,-40.48
17200,1662.8,-40.56
17220,1663.28,-40.17
17240,1663.78,-41.24
17260,1664.18,-42.24
17280,1664.59,-39.81
17300,1665.04,-39.8
17320,1665.49,-41.58
17340,1665.89,-40.55
17360,1666.33,-40.64
17380,1666.86,-39.94
17400,1667.31,-41.25
17420,1667.78,-42.94
17440,1668.19,-42.38
17460,1668.65,-41.52
17480,1669.09,-40.75
17500,1669.55,-40.72
17520,1669.95,-41.49
17540,1670.38,-41.22
17560,1670.8,-38.85
17580,1671.2,-40.46
17600,1671.65,-41.85
17620,1672.12,-39.58
17640,1672.61,-39.7
17660,1673.08,-40.89
17680,1673.63,-40.04
17700,1674.11,-40.7
17720,1674.49,-42.53
17740,1674.92,-41.35
17760,1675.35,-41.31
17780,1675.8,-41.04
17800,1676.27,-40.9
17820,1676.8,-38.95
17840,1677.31,-41.45
17860,1677.78,-42.4
17880,1678.2,-43.36
17900,1678.67,-41.14
17920,1679.16,-40.93
17940,1679.64,-42.52
17960,1680.05,-41.74
17980,1680.47,-43.47
18000,1680.96,-42.27
18020,1681.39,-42.68
18040,1681.82,-41.83
18060,1682.25,-40.5
18080,1682.64,-42.77
18100,1683.07,-42.9
18120,1683.57,-42.77
18140,1684.07,-42.99
18160,1684.55,-40.6
18180,1685.06,-40.68
18200,1685.55,-40.98
18220,1686.04,-42.25
18240,1686.5,-41.83
18260,1686.95,-41.63
18280,1687.35,-44.35
18300,1687.86,-42.17
18320,1688.35,-40.74
18340,1688.78,-43.78
18360,1689.23,-42.4
18380,1689.66,-43.02
18400,1690.04,-42.35
18420,1690.43,-41.89
18440,1690.92,-42.12
18460,1691.32,-42.25
18480,1691.75,-42.82
18500,1692.19,-40.04
18520,1692.67,-42.21
18540,1693.11,-41.75
18560,1693.54,-39.92
18580,1693.97,-40.92
18600,1694.41,-42.85
18620,1694.92,-41.37
18640,1695.36,-40.41
18660,1695.82,-40.96
18680,1696.29,-40.12
18700,1696.74,-41.7
18720,1697.18,-41.13
18740,1697.67,-41.01
18760,1698.13,-42.66
18780,1698.59,-42.25
18800,1699.01,-41.46
18820,1699.51,-41.24
18840,1700,-40.87
18860,1700.51,-41.97
18880,1700.94,-40.39
18900,1701.38,-40.26
18920,1701.82,-42.36
18940,1702.27,-42.09
18960,1702.68,-40.85
18980,1703.14,-42.11
19000,1703.56,-41.29
19020,1703.99,-42.16
19040,1704.42,-40.04
19060,1704.87,-42.61
19080,1705.33,-41.81
19100,1705.76,-42.03
19120,1706.18,-41.5
19140,1706.68,-42.48
19160,1707.08,-42.75
19180,1707.55,-41.38
19200,1708.02,-43.74
19220,1708.4,-42.52
19240,1708.82,-40.54
19260,1709.27,-43.75
